sta_id,rec_id,dep_dt,ret_dt,sta_lat,sta_lon,
BUIS_47,VR2W-110208,7/8/2014 13:37,10/27/2014 9:52,17.78033,-64.64191,
BUIS_48,VR2W-102917,7/8/2014 14:19,10/27/2014 13:39,17.78682,-64.64481,
BUIS_49,VR2W-124589,6/30/2014 16:09,10/22/2014 11:08,17.78058,-64.61318,
BUIS_50,VR2W-124581,7/3/2014 9:38,10/24/2014 13:18,17.79328,-64.62435,
BUIS_51,VR2W-124587,7/3/2014 9:43,10/24/2014 12:53,17.79450,-64.62527,
BUIS_52,VR2W-124582,7/2/2014 14:54,10/24/2014 12:07,17.79881,-64.62295,
BUIS_01,VR2W-104621,10/27/2014 11:56,2/6/2015 14:51,17.78976,-64.64280,
BUIS_02,VR2W-124587,10/27/2014 10:53,2/6/2015 14:24,17.79901,-64.63578,
BUIS_03,VR2W-104088,10/23/2014 16:36,2/5/2015 11:34,17.79241,-64.63223,
BUIS_04,VR2W-110211,10/27/2014 12:46,2/6/2015 15:33,17.78382,-64.63187,
BUIS_05,VR2W-124583,10/22/2014 12:35,2/4/2015 12:40,17.77670,-64.62232,
BUIS_06,VR2W-104623,10/23/2014 16:47,2/5/2015 12:00,17.79064,-64.62226,
BUIS_07,VR2W-114122,10/23/2014 15:12,2/5/2015 10:25,17.80190,-64.62100,
BUIS_08,VR2W-115502,10/21/2014 14:37,2/4/2015 14:32,17.78226,-64.61987,
BUIS_09,VR2W-119925,10/23/2014 15:33,2/5/2015 12:38,17.78395,-64.61938,
BUIS_10,VR2W-115503,10/21/2014 14:07,2/4/2015 14:09,17.78246,-64.61790,
BUIS_11,VR2W-103210,10/23/2014 17:04,2/5/2015 12:35,17.78422,-64.61740,
BUIS_12,VR2W-114125,10/23/2014 15:19,2/5/2015 12:14,17.79200,-64.61590,
BUIS_13,VR2W-102800,10/21/2014 13:32,2/4/2015 13:43,17.78352,-64.61468,
BUIS_14,VR2W-115504,10/21/2014 12:54,2/4/2015 13:13,17.78485,-64.61161,
BUIS_15,VR2W-110206,10/23/2014 16:56,2/5/2015 12:22,17.78778,-64.60996,
BUIS_16,VR2W-104938,10/21/2014 11:31,2/3/2015 13:21,17.77853,-64.60758,
BUIS_17,VR2W-114123,10/23/2014 15:26,2/5/2015 10:07,17.79400,-64.60480,
BUIS_18,VR2W-115501,10/21/2014 15:17,2/4/2015 11:00,17.78254,-64.62299,
BUIS_19,VR2W-115499,10/23/2014 16:51,2/5/2015 12:08,17.78994,-64.61571,
BUIS_20,VR2W-110210,10/24/2014 11:15,2/7/2015 10:00,17.80537,-64.63568,
BUIS_21,VR2W-110205,10/24/2014 10:49,2/7/2015 10:38,17.79442,-64.64261,
BUIS_22,VR2W-104622,10/24/2014 10:27,2/6/2015 10:23,17.78970,-64.64665,
BUIS_23,VR2W-124585,10/24/2014 10:02,2/6/2015 9:42,17.78490,-64.65096,
BUIS_24,VR2W-110208,10/27/2014 11:33,2/6/2015 13:39,17.79290,-64.63997,
BUIS_25,VR2W-103711,10/27/2014 14:10,2/7/2015 14:00,17.78337,-64.64498,
BUIS_26,VR2W-124581,10/27/2014 10:21,2/7/2015 13:21,17.78245,-64.63773,
BUIS_27,VR2W-104620,10/27/2014 13:04,2/5/2015 11:04,17.78686,-64.63492,
